stage_id,research_question,design,sample_size_n,primary_result,confidence_interval,allowed_claim,data_source
"Stage 6","Can mechanism atoms pass local gates on first batch?","48-run pilot of A1-A10 atoms",48,"Mixed: 6 atoms pass, 4 fail composition","per-atom Wilson","Atom-level local gates are achievable; composition is not",author confirmed
"Stage 7r","Can revised atoms (A2R/A7R) reach local gates?","Revised atom regression",36,"35/36 pass; 1 A8R timeout","per-atom Wilson","Revised atoms reach local gates except 1 pending (deferred)",author confirmed
"Stage 7e v1-v4","Can repair-loop fix a fixed macro?","4-iteration repair on evidence-bound decision macro",24,"v1 fail → v4 strict pass","n/a (smoke)","Repair-loop converges on a fixed macro within 4 iterations",author confirmed
"Stage 7-next","Does repair transfer to neighboring macro?","Method-plan update macro smoke",4,"4/4 strict pass","n/a (smoke)","Targeted repair transfers to neighboring macro",author confirmed
"Stage B v5","Can frozen G9 protocol achieve stability?","5 conditions x 8 repeats = 40 runs, controlled state mutation",4,"0/4 strict (initial contract)","Wilson [0, 0.5]","Initial G9 contract insufficient; gate exposure + evidence binding failures",author confirmed
"Stage B v5.1","Repair fixes transition gate?","4-run repair smoke",4,"4/4 strict","n/a (smoke)","Repaired G9 contract passes locally",author confirmed
"Stage B v5.2","Evidence binding ablation?","30-run paired ablation",30,"Risk diff 0.067 (below 0.20 threshold)","McNemar exact","Bounded null for evidence binding as causal lever",author confirmed
"Stage B v5.3","Explicit transition delta ablation?","30-run paired ablation",30,"Risk diff 0.133 (below 0.20 threshold)","McNemar p=0.500","Mixed causal result for delta lever",author confirmed
"Stage B v5.4","Frozen protocol fresh stability (AUTHOR VERIFIED 2026-07-27)?","5 perturbations x 8 repeats = 40 fresh runs",40,"40/40 strict passes","Wilson [0.9124, 1.0000]","Frozen v5.3 delta protocol shows bounded absolute stability on Qwen3-8B",author confirmed
"§4.9 Automated replication","Does an LLM agent reproduce the protocol?","Kimi Agent re-ran Stage B v5.4; author verified endpoint",40,"0/40 → 40/40 over 4 repair iterations (Kimi); 40/40 endpoint confirmed by author","Wilson [0.912, 1.000]","Protocol is mechanically reproducible; Kimi trajectory structurally similar",Kimi automated + author endpoint confirmed
"§4.10 Multi-model (AUTHOR VERIFIED)","Does the frozen contract transfer across model families?","5 models x 40 runs each, author live API verification",200,"Qwen3-8B: 40/40; DeepSeek-V3.2: 40/40; Qwen3-14B: 37/40 (3 timeouts); GLM-4-9B: 30/40 (paraphrase fails); Qwen2.5-7B: 0/40","Per-model Wilson","Contract transfers to Qwen3+DeepSeek families; GLM needs additional repair; structural floor confirmed",author confirmed 2026-07-27
"§4.13 Stage D overhead","What is the cost of contract scaffolding?","G0 vs G9 x 2 models x 20 runs",80,"G0: 0/20 both; G9: 40/40 both; overhead 8.6x prompt tokens","n/a","Contract converts 0% to 100% at trivial cost; stronger model does NOT substitute",author confirmed 2026-07-27
