title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Agent behavioral contracts: Formal specification and runtime enforcement for reliable autonomous AI agents,VP Bhardwaj,2026,15,"… notion of contract compliance that accounts for LLM non-… for safe contract composition in multi-agent chains and … byContract, contract theory, runtime verification, and AI agent …",BZa-JaWJn9kJ,"VP Bhardwaj - arXiv preprint arXiv:2602.22302, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.22302,unknown,unknown
VeriAct: Beyond Verifiability--Agentic Synthesis of Correct and Complete Formal Specifications,"MRH Misu, I Ma, CV Lopes",2026,1,"… we propose VeriAct, a verification-guided agentic framework … paradigm, which equips an LLM agent with the ability to write … than the exhaustive contracts that formal specifications must …",8TcNxJmZSPsJ,"MRH Misu, I Ma, CV Lopes - arXiv preprint arXiv:2604.00280, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.00280,unknown,unknown
Formally Specifying the Intended Behavior of the Program: LLM-Driven Neuro-Symbolic Program Specification Synthesis,"C Wen, H Junjie, YK Hu, J Su, B Yu, D Liu…",2026,0,"… LLM agent that synthesizes formal specifications for C programs by integrating neural generation with symbolic verification. … , once verified, a contract serves as a reusable formal model …",DF5F0ifFB2wJ,"C Wen, H Junjie, YK Hu, J Su, B Yu, D Liu… - Proceedings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.acl-demo.66/,unknown,unknown
Methods for Formal Verification of Agent Skills: Three Layers Toward a Mechanically Checkable Capability-Containment Proof,A Metere,2026,1,"… We do not attempt formal verification of the LLM itself. The model’s … to verify, mechanically and reproducibly, that a deployed agent’s behaviour is bounded by its declared specification. …",TI8DBzpWsL4J,"A Metere - arXiv preprint arXiv:2605.23951, 2026 - arxiv.org",[],https://arxiv.org/pdf/2605.23951,unknown,unknown
AgentVerify: Compositional formal verification of AI agent safety properties via LTL model checking,E Fang,2026,2,"… ) targeted by our formal specifications. These frameworks … the LLM as a nondeterministic oracle within a larger, formally … strong performance of Monolithic Contract Verification (80.00%), …",nuSbK42dxHQJ,E Fang - 2026 - preprints.org,[],https://www.preprints.org/manuscript/202604.1029,unknown,unknown
FASTRIC: Prompt Specification Language for Verifiable LLM Interactions,WL Jin,2025,2,"… provide no formal mechanism to verify whether an LLM follows the … —formal specification languages, multi-agent interaction … FIPA defined interaction protocols—Contract Net, Request …",lpqoF3SVRiMJ,"WL Jin - arXiv preprint arXiv:2512.18940, 2025 - arxiv.org",[],https://arxiv.org/abs/2512.18940,unknown,unknown
Extracting Formal Specifications From Documents Using LLMS for Test Automation,"H Li, Z Dong, S Wang, H Zhang, L Shen…",2025,10,"… and evaluate LLM's ability to extract specifications in temporal … the first LLM agent is responsible for specification sentence … Finally, we ask for two experts to verify the specifications in …",Jk8fgApQgS0J,"H Li, Z Dong, S Wang, H Zhang, L Shen… - 2025 IEEE/ACM 33rd …, 2025 - computer.org",[],https://www.computer.org/csdl/proceedings-article/icpc/2025/022300a310/27CwP4ybKWQ,unknown,unknown
Towards formal verification of llm-generated code from natural language prompts,"A Councilman, DJ Fu, A Gupta, C Wang…",2025,12,"… aid, modern AI agents are … a formal specification 𝑠 that best matches it. Assuming the description 𝒹 is a good description of the user’s intent, we believe that with our formal specification …",88U4gCYLbRYJ,"A Councilman, DJ Fu, A Gupta, C Wang… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2507.13290,unknown,unknown
Specmas: A multi-agent system for self-verifying system generation via formal model checking,"R Agrawal, K Ranade, A Khanal…",2026,3,"… , and property specifications, and systematically verify their … and verification, paving the way for more robust LLM based … Propertygpt: Llm-driven formal verification of smart contracts …",y8CeROuB2SsJ,"R Agrawal, K Ranade, A Khanal… - Advances in Neural …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/61816fb8f7dd9677d23d00196ccbf126-Abstract-Conference.html,unknown,unknown
Extracting formal specifications from documents using llms for automated testing,"H Li, Z Dong, S Wang, H Zhang, L Shen, X Peng…",2025,13,"… method and evaluate LLM’s ability to extract specifications in … ), guiding the LLM to act as a formal verification expert during the … two specialized LLM agents to extract specifications from …",1aIPTut24YsJ,"H Li, Z Dong, S Wang, H Zhang, L Shen, X Peng… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2504.01294,unknown,unknown
RefineAct: Automatic Runtime Verification of LLM Agent Actions,"F Batole, F Khomh, H Rajan",2026,0,"… and contracts define expected behavior, LLM agents operate … strating that specification-based runtime verification improves … informal descriptions and formal representations. However, …",MD0knFUDw5QJ,"F Batole, F Khomh, H Rajan - 2026 - fraolbatole.github.io",[],https://fraolbatole.github.io/assets/pdf/RefineAct.pdf,unknown,unknown
Propertygpt: Llm-driven formal verification of smart contracts through retrieval-augmented property generation,"Y Liu, Y Xue, D Wu, Y Sun, Y Li, M Shi, Y Liu",2024,149,… formally verify the correctness of the generated properties. We have implemented these strategies into a novel LLM-… modular verification to determine whether these formal specifications …,JsJGTErrVDsJ,"Y Liu, Y Xue, D Wu, Y Sun, Y Li, M Shi, Y Liu - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2405.02580,unknown,unknown
