title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Mas-fire: Fault injection and reliability evaluation for llm-based multi-agent systems,"J Jia, Z Deng, Z Chen, Y Wang, Z Zheng",2026,7,… shifting the focus of injection from purely syntactic or structural code mutations to semantic perturbations that directly challenge the agents’ cognitive and collaborative capabilities. …,-jzo1PyZ23QJ,"J Jia, Z Deng, Z Chen, Y Wang, Z Zheng - arXiv preprint arXiv:2602.19843, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.19843,unknown,unknown
From Agent Traces to Trust: Evidence Tracing and Execution Provenance in LLM Agents,"Y Wang, J Zhang, T Cai, Z Liu, Q Sun, Z Sun…",2026,3,"… However, LLM agents introduce semantic units such as retrieved evidence, generated claims, … the reliability, safety, and governability of LLM agents. We summarize six major functions. …",BjpxqChqqi8J,"Y Wang, J Zhang, T Cai, Z Liu, Q Sun, Z Sun… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2606.04990,unknown,unknown
AgentSpec: Customizable runtime enforcement for safe and reliable LLM agents.(2026),"H Wang, CM Poskitt, J Sun",2026,15,"… and reliability in LLM agents. The goal of AgentSpec is to provide an expressive, rulebased mechanism that allows users to define constraints governing agent … semantic of AgentSpec. …",mn3YX55ync8J,"H Wang, CM Poskitt, J Sun - Proceedings of the IEEE/ACM …, 2026 - ink.library.smu.edu.sg",[],https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?params=/context/sis_research/article/11279/&path_info=2503.18666v3.pdf,unknown,unknown
Agentfixer: From failure detection to fix recommendations in llm agentic systems,"H Mulian, S Zeltyn, I Levy, L Galanti, A Yaeli…",2026,1,"… both deterministic reliability and flexible semantic assessment… is applied only to relevant agent outputs, we developed a de… the right panel ranks agents by LLM reliability issues, and the …",392gnyeFqG4J,"H Mulian, S Zeltyn, I Levy, L Galanti, A Yaeli… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.29848,unknown,unknown
"Toward Secure LLM Agents: Threat Surfaces, Attacks, Defenses, and Evaluation","Y Ling, S Yu, Z Chen, C Fang",2026,3,"… stack for practical LLM agent deployments. To answer RQ4, we review benchmark and evaluation … The first is data-control ambiguity: agents routinely consume text that is semantically …",zgMvZ7_5Yh0J,"Y Ling, S Yu, Z Chen, C Fang - arXiv preprint arXiv:2606.10749, 2026 - arxiv.org",[],https://arxiv.org/abs/2606.10749,unknown,unknown
Towards verifiably safe tool use for LLM agents,"A Doshi, Y Hong, C Xu, E Kang, A Kapravelos…",2026,30,"… Safety and security are widely recognized as key obstacles to deploying agents beyond exploratory use [9]. For instance, while some developers use coding agents carefully and review …",U885NLoT5EAJ,"A Doshi, Y Hong, C Xu, E Kang, A Kapravelos… - Proceedings of the …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3786582.3786839,unknown,unknown
Semantic consistency for assuring reliability of large language models,"H Raj, V Gupta, D Rosati, S Majumdar",2023,54,"… Finally, we define the consistency of the LLM as the semantic entropy (SE) of these clusters. … Human Preference Elicitation To assess the reliability of our semantic consistency …",D6lCgm0OM04J,"H Raj, V Gupta, D Rosati, S Majumdar - arXiv preprint arXiv:2308.09138, 2023 - arxiv.org",[],https://arxiv.org/abs/2308.09138,unknown,unknown
Can Dependencies Induced by LLM-Agent Workflows Be Trusted?,"Y Yao, YL Song, Y Xie, M Fan…",2026,2,"… is deemed reliable if it remains semantically consistent … LLM outputs violate this assumption, causing inter-agent misalignment. Our goal is to execute G reliably by verifying the reliability …",625cVYw58YgJ,"Y Yao, YL Song, Y Xie, M Fan… - Advances in Neural …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/19206a6ed5ed0aaeed440448dfc5cf7e-Abstract-Conference.html,unknown,unknown
Reframing llm agent security as an agent-human interaction problem,"P Wang, Y Li, Y Tian",2026,5,"… -based intent alignment alone faces irreducible limitations (… of intent is a more reliable substrate than LLM inference, and … semantics of agent actions and the cognitive constraints of the …",8H3oC4rkCm4J,"P Wang, Y Li, Y Tian - arXiv preprint arXiv:2605.24309, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.24309,unknown,unknown
Mla-trust: Benchmarking trustworthiness of multimodal llm agents in gui environments,"X Yang, J Chen, J Luo, Z Fang, Y Dong, H Su…",2025,29,"… uncovers limitations and informs the development of more reliable and user-centric MLAs. … [59] on phenomena such as stochastic execution and semantic obfuscation, we propose to …",9Sr5P1eqthIJ,"X Yang, J Chen, J Luo, Z Fang, Y Dong, H Su… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2506.01616,unknown,unknown
