title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Why do multi-agent llm systems fail?,"M Cemri, MZ Pan, S Yang…",2026,59,"… In this study, we define an LLM-based agent as an artificial … a generalizable failure taxonomy for multi-agent interactions … MAS fail and to guide the development of more reliable future …",ebJHAPUh-wsJ,"M Cemri, MZ Pan, S Yang… - Advances in …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/b1041e52d3be19f0a9bc491657488e4a-Abstract-Datasets_and_Benchmarks_Track.html,unknown,unknown
Why do multi-agent llm systems fail?,"M Cemri, MZ Pan, S Yang, LA Agrawal…",2025,512,"… In this study, we define an LLM-based agent as an artificial … a generalizable failure taxonomy for multi-agent interactions … MAS fail and to guide the development of more reliable future …",E9WlfpJ70l0J,"M Cemri, MZ Pan, S Yang, LA Agrawal… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2503.13657,unknown,unknown
Why do multiagent systems fail?,"MZ Pan, M Cemri, LA Agrawal, S Yang…",2025,95,"… and link failure modes, ultimately forming a taxonomy of error … Motivated by the reliability of our taxonomy, we ask the … investigation of failure modes of LLM based MultiAgent Systems, …",xq3hhkpHj-oJ,"MZ Pan, M Cemri, LA Agrawal, S Yang… - ICLR 2025 Workshop …, 2025 - openreview.net",[],https://openreview.net/forum?id=wM521FqPvI,unknown,unknown
Mas-fire: Fault injection and reliability evaluation for llm-based multi-agent systems,"J Jia, Z Deng, Z Chen, Y Wang, Z Zheng",2026,7,"… for fault injection and reliability evaluation of MAS. We define a taxonomy of 15 fault types covering intra-agent cognitive errors and interagent coordination failures, and inject them via …",-jzo1PyZ23QJ,"J Jia, Z Deng, Z Chen, Y Wang, Z Zheng - arXiv preprint arXiv:2602.19843, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.19843,unknown,unknown
"Characterizing faults in agentic AI: A taxonomy of types, symptoms, and root causes","MB Shah, MM Morovati, MM Rahman…",2026,9,"… faults and improving reliability in … multi-agent AI systems, but our taxonomy suggests additional test dimensions: simulation of external dependency failures, controlled variability in LLM …",Dt99-Muaa_AJ,"MB Shah, MM Morovati, MM Rahman… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.06847,unknown,unknown
"Beyond Individual Intelligence: Surveying Collaboration, Failure Attribution, and Self-Evolution in LLM-based Multi-Agent Systems","S Qi, J Ma, R Xing, W Guo, X Huang, Z Gao…",2026,2,"… review the capability foundations of individual agents, the organizational mechanisms of multi-agent … Within each stage, we provide systematic taxonomies and comparative analyses of …",_8PCSvJIKUUJ,"S Qi, J Ma, R Xing, W Guo, X Huang, Z Gao… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.14892,unknown,unknown
Agentfixer: From failure detection to fix recommendations in llm agentic systems,"H Mulian, S Zeltyn, I Levy, L Galanti, A Yaeli…",2026,1,"… form a taxonomy of recurrent error categories that directly hinder pipeline reliability. Motivated … taxonomies of multi-agent failures, we identified three primary failure dimensions: (i) input-…",392gnyeFqG4J,"H Mulian, S Zeltyn, I Levy, L Galanti, A Yaeli… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.29848,unknown,unknown
Beyond Single-Agent Safety: A Taxonomy of Risks in LLM-to-LLM Interactions,"P Bisconti, M Galisai, F Pierucci, M Bracale…",2025,9,"… In multi-agent configurations, an LLM’s output becomes the next … , the boundary at which localized reliability gives way to collective … in multi-agent configurations, local compliance fails to …",8Zqng-f7vMkJ,"P Bisconti, M Galisai, F Pierucci, M Bracale… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2512.02682,unknown,unknown
"The Evaluation Challenge of Agency: Reliability, Contamination, and Evolution in LLM Agents","Z Dong, Z Liu, Z Wang, Y Li, Z Ma",2026,1,"… This paper provides an analysis of the state-of-the-art in LLM agent evaluation. We … three-tier failure taxonomy derived from the Multi-Agent System Failure Taxonomy (MAST), …",on4dTgKb67AJ,"Z Dong, Z Liu, Z Wang, Y Li, Z Ma - 2026 - techrxiv.org",[],https://www.techrxiv.org/doi/full/10.36227/techrxiv.177222530.04005985,unknown,unknown
A survey for llm agent trajectory analysis: From failure attribution to enhancement,"J Wang, Y Wang, M Chen, X Xie, C Chen, F Mu, Z Liu…",2026,2,"… review of the burgeoning field of trajectory analysis for failure … five key dimensions: failure taxonomy, failure attribution, system … analysis: agent trajectory OR LLM agent OR multi-agent …",Md_Fz9rlbwEJ,"J Wang, Y Wang, M Chen, X Xie, C Chen, F Mu, Z Liu… - 2026 - researchgate.net",[],https://www.researchgate.net/profile/Mengzhuo-Chen/publication/401193207_A_Survey_for_LLM_Agent_Trajectory_Analysis_From_Failure_Attribution_to_Enhancement/links/699ed0c6ca66ef6ab9979188/A-Survey-for-LLM-Agent-Trajectory-Analysis-From-Failure-Attribution-to-Enhancement.pdf,unknown,unknown
