title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Kubeintellect: A modular llm-orchestrated agent framework for end-to-end kubernetes management,"MS Ardebili, A Bartolini",2025,9,"… task plans, leveraging a finite-state machine (FSM). This FSM governs … By encapsulating control flow, agent coordination, and … them within the orchestration graph and defining their task …",96XW5TEj47IJ,"MS Ardebili, A Bartolini - arXiv preprint arXiv:2509.02449, 2025 - arxiv.org",[],https://arxiv.org/abs/2509.02449,unknown,unknown
A survey on agent workflow–status and future,"C Yu, Z Cheng, H Cui, Y Gao, Z Luo…",2025,37,"… the emerging AI ecosystem, orchestrating agents across roles, … regarded as an agent rather than a static LLM wrapper once … 1) Data flow represents a workflow as a data state machine, …",Tiw1ALA6p7UJ,"C Yu, Z Cheng, H Cui, Y Gao, Z Luo… - … Intelligence and Big …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11082076/,unknown,unknown
"LLM-Based Multi-Agent Orchestration: A Survey of Frameworks, Communication Protocols, and Emerging Patterns","Y Zhu, L Liu, J Yu, D Zhang",2026,1,"… , models agent workflows as stateful directed graphs [30]. Its … level: explicit about control flow, opinionated about state, and … the graph as a state machine, providing maximum control at …",JYsdrikagr4J,"Y Zhu, L Liu, J Yu, D Zhang - 2026 - preprints.org",[],https://www.preprints.org/manuscript/202604.2147,unknown,unknown
FlowSteer: Interactive Agentic Workflow Orchestration via End-to-End Reinforcement Learning,"M Zhang, H Luo, T Shen, Q Lin, X Tang, R Mao…",2026,4,"… backend LLM Mbackend, the workflow orchestration problem … The Workflow Canvas maintains a finite state machine with … organize these modules into control flow graphs with sufficient …",xCCXnzSKlnMJ,"M Zhang, H Luo, T Shen, Q Lin, X Tang, R Mao… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.01664,unknown,unknown
"Agent Operating Systems (Agent-OS): A Blueprint Architecture for Real-Time, Secure, and Scalable AI Agents",A Koubaa,2025,4,… Workflow & Orchestration layer User intents are compiled into agentic workflows: DAGs/state machines whose nodes are LLM… A workflow is a typed graph (ie schema-constrained graph …,xj9YucIOFogJ,"A Koubaa - Authorea Preprints, 2025 - preprints.org",[],https://www.preprints.org/frontend/manuscript/a44bb9da08190c28e451338787f60ef2/download_pub,unknown,unknown
Agents and workflows,"JS Yu, Y Yao",2026,2,"… to agentic, workflow-orchestrated large language model … As LLM capabilities grow, agent systems are rapidly moving … and enable efficient state tracking, whereas state machines or event…",oMbj9CIOqF8J,"JS Yu, Y Yao - Intelligent language services: Theory and practice with …, 2026 - Springer",[],https://link.springer.com/chapter/10.1007/978-981-95-4632-9_5,unknown,unknown
FlowXpert: Expertizing Troubleshooting Workflow Orchestration with Knowledge Base and Multi-Agent Coevolution,"B Shi, Y Luo, J Wang, Y Zhao, S Zhang, B Hao…",2025,11,"… state machines to explicitly define workflows, enabling better … We employ LLM-driven agents to simulate the workflow … Initially, we build a knowledge base incorporating vector and graph …",y0l4tKieE8cJ,"B Shi, Y Luo, J Wang, Y Zhao, S Zhang, B Hao… - Proceedings of the 31st …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3711896.3737221,unknown,unknown
GraphFlow: A Graph-Based Workflow Management for Efficient LLM-Agent Serving,"A Li, S Yang, F Chen, T Xu, P Li, Z Su",2026,0,… framework that advances LLM agent orchestration from static workflow retrieval to dynamic subgraph construction over a shared operation graph. By unifying diverse workflows into a …,1tNA7CAXj4gJ,"A Li, S Yang, F Chen, T Xu, P Li, Z Su - arXiv preprint arXiv:2605.22566, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.22566,unknown,unknown
Self-organizing agent network for llm-based workflow automation,"Y Xiong, J Wang, B Li, Y Zhu, Y Zhao",2025,17,"… capabilities of current LLM-based orchestration systems, we … existing LLM-based and multi-agent baselines in workflow … nested workflows, novel goals, and complex control flows with …",5-lxKxBsjXoJ,"Y Xiong, J Wang, B Li, Y Zhu, Y Zhao - arXiv preprint arXiv:2508.13732, 2025 - arxiv.org",[],https://arxiv.org/abs/2508.13732,unknown,unknown
Reinforcement Learning for LLM-based Multi-Agent Systems through Orchestration Traces,C Zhang,2026,0,"… credit assignment, or orchestration as a study object… LLM-MAS RL is usefully analyzed through the orchestration trace, understood as an event graph, rather than only through per-agent …",S8IUQwPjNx4J,"C Zhang - arXiv preprint arXiv:2605.02801, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.02801,unknown,unknown
