title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Nemo guardrails: A toolkit for controllable and safe llm applications with programmable rails,"T Rebedea, R Dinu, MN Sreedhar…",2023,524,"… We present NeMo Guardrails, a toolkit that allows developers to build controllable and safe LLMbased applications by implementing programmable rails. These rails are expressed …",jNOW1XPa89MJ,"T Rebedea, R Dinu, MN Sreedhar… - Proceedings of the …, 2023 - aclanthology.org",[],https://aclanthology.org/2023.emnlp-demo.40/,unknown,unknown
Safeguarding large language models: A survey,"Y Dong, R Mu, Y Zhang, S Sun, T Zhang, C Wu…",2025,228,"… existing guardrail techniques have been proposed by the LLM … LLM guardrails constitute a suite of safety measures … NeMo Guardrails), as shown in the yellow area of Fig. 1. These …",CCG_fPnpfyUJ,"Y Dong, R Mu, Y Zhang, S Sun, T Zhang, C Wu… - Artificial intelligence …, 2025 - Springer",[],https://link.springer.com/article/10.1007/s10462-025-11389-2,unknown,unknown
Building guardrails for large language models,"Y Dong, R Mu, G Jin, Y Qi, J Hu, X Zhao, J Meng…",2024,193,"… For example, in a conversation scenario, LLM is utilized in the … Additionally, guardrail tools such as Guardrails AI and Nemo … Our Perspective For the safety and intelligence tension, prior …",7CHyQPhkyIwJ,"Y Dong, R Mu, G Jin, Y Qi, J Hu, X Zhao, J Meng… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2402.01822,unknown,unknown
The structural safety generalization problem,"J Broomfield, T Gibbs, G Ingebretsen…",2025,4,"… Like NeMo Guardrails, We used the LLM Judge to classify each prompt as harmful or benign, and considered the attack unsuccessful if any one of the prompts was labeled as harmful. …",16HPMOWsHz0J,"J Broomfield, T Gibbs, G Ingebretsen… - Findings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.findings-acl.1142/,unknown,unknown
Position: building guardrails for large language models requires systematic design,"D Yi, R Mu, G Jin, Y Qi, J Hu, X Zhao…",2024,47,"… For example, in a conversation scenario, LLM is utilized in the … Additionally, guardrail tools such as Guardrails AI and Nemo … Our Perspective For the safety and intelligence tension, prior …",2vS9saZc-yIJ,"D Yi, R Mu, G Jin, Y Qi, J Hu, X Zhao… - … on Machine Learning, 2024 - openreview.net",[],https://openreview.net/forum?id=JvMLkGF2Ms,unknown,unknown
Guardrails for large language models: A review of techniques and challenges,SA Akheel,2025,21,"… and toolkits (eg, Nvidia NeMo, Guardrails AI, Llama Guard), … researchers aiming to implement LLM guardrails effectively. … case that guardrails are not merely add-ons or optional safety …",hLhEa7BFbEsJ,"SA Akheel - J Artif Intell Mach Learn & Data Sci, 2025 - urfjournals.org",[],https://urfjournals.org/open-access/guardrails-for-large-language-models-a-review-of-techniques-and-challenges.pdf,unknown,unknown
Evaluation of NeMo Guardrails as a Firewall for User–LLM Interaction,"AJ Azambuja, M Guilherme, JVF Castro, JPO Lima…",2026,1,,zO2QFy_JLaYJ,"AJ Azambuja, M Guilherme, JVF Castro, JPO Lima… - Future Internet, 2026 - mdpi.com",[],https://www.mdpi.com/1999-5903/18/5/252,unknown,unknown
Ml-on-rails: Safeguarding machine learning models in software systems—a case study,"H Abdelkader, M Abdelrazek, S Barnett…",2024,11,… NeMo Guardrails aims to create safe and controllable LLM applications using programmable … We will incorporate NeMo Guardrails into the ML-On-Rails protocol to provide a complete …,9RcnRJdR3CsJ,"H Abdelkader, M Abdelrazek, S Barnett… - Proceedings of the …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3644815.3644958,unknown,unknown
Trust-oriented adaptive guardrails for large language models,"J Hu, Y Dong, X Huang",2024,6,"… box guardrails such as the Llama Guard series and Nvidia NeMo, our system exhibited enhanced control and safety… NeMo guardrails: A toolkit for controllable and safe LLM applications …",5ca_IgLaQ6MJ,"J Hu, Y Dong, X Huang - arXiv preprint arXiv:2408.08959, 2024 - arxiv.org",[],https://arxiv.org/abs/2408.08959,unknown,unknown
Enhancing guardrails for safe and secure healthcare ai,A Gangavarapu,2024,13,"… existing guardrails frameworks, such as Nvidia NeMo Guardrails, … and ensures precise control over LLM responses, making it … By wrapping LLM API calls in a Guard object, Guardrails.ai …",GqqiBXZ6XXgJ,"A Gangavarapu - arXiv preprint arXiv:2409.17190, 2024 - arxiv.org",[],https://arxiv.org/abs/2409.17190,unknown,unknown
