title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Dspy: Compiling declarative language model calls into self-improving pipelines,"O Khattab, A Singhvi, P Maheshwari, Z Zhang…",2023,1136,"… pipelines, we introduce the DSPy programming model.DSPy pushes building new LM pipelines away from manipulating free-form strings and closer to programming (composing …",SmQtEKvpWJcJ,"O Khattab, A Singhvi, P Maheshwari, Z Zhang… - arXiv preprint arXiv …, 2023 - arxiv.org",[],https://arxiv.org/abs/2310.03714,unknown,unknown
DSPy: compiling declarative language model calls into state-of-the-art pipelines,"O Khattab, A Singhvi, P Maheshwari…",2024,43,"… pipelines, we introduce the DSPy programming model.DSPy pushes building new LM pipelines away from manipulating free-form strings and closer to programming (composing …",vjSZYRL_W6wJ,"O Khattab, A Singhvi, P Maheshwari… - International …, 2024 - proceedings.iclr.cc",[],https://proceedings.iclr.cc/paper_files/paper/2024/hash/f1cf02ce09757f57c3b93c0db83181e0-Abstract-Conference.html,unknown,unknown
Dspy assertions: Computational constraints for self-refining language model pipelines,"A Singhvi, M Shetty, S Tan, C Potts, K Sen…",2023,39,"… Below, we briefly describe the DSPy programming model for building declarative LM pipelines and compiling them into auto-optimized prompt (or finetune) chains. We then sketch a …",qeLQ4fLsSD8J,"A Singhvi, M Shetty, S Tan, C Potts, K Sen… - arXiv preprint arXiv …, 2023 - arxiv.org",[],https://arxiv.org/abs/2312.13382,unknown,unknown
Optimizing instructions and demonstrations for multi-stage language model programs,"K Opsahl-Ong, MJ Ryan, J Purtell…",2024,251,"… Language Model Programs, ie sophisticated pipelines of modular language model (LM) calls, … Table 1 presents our tasks, whose full descriptions, splits, and DSPy program pseudocode …",kct-BQOaTAUJ,"K Opsahl-Ong, MJ Ryan, J Purtell… - … in Natural Language …, 2024 - aclanthology.org",[],https://aclanthology.org/2024.emnlp-main.525/,unknown,unknown
AutoDSPy: Automating Modular Prompt Design with Reinforcement Learning for Small and Large Language Models,"N Azim, AU Alam, HB Omar, AMMA Jami…",2025,1,"… ual pipeline design in DSPy, we present AutoDSPy—a … , task-adaptive large language model (LLM) pipelines. At its core, … 2024) is a declarative programming framework designed to …",or_FCc8yvGEJ,"N Azim, AU Alam, HB Omar, AMMA Jami… - … in Natural Language …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.emnlp-industry.192/,unknown,unknown
A comparative study of dspy teleprompter algorithms for aligning large language models evaluation metrics to human evaluation,"B Sarmah, K Dutta, A Grigoryan, S Tiwari…",2024,12,"… We argue that the Declarative Self-improving Python (DSPy) … through self-improving language model pipelines. However, … DSPy[6] is a programming model that is designed to optimize …",snBlGcI_S_oJ,"B Sarmah, K Dutta, A Grigoryan, S Tiwari… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2412.15298,unknown,unknown
"Development of a multi-agent, LLM-driven system to enhance human-machine interaction: integrating DSPy with modular agentic strategies and logical reasoning …",Y Mendoza Juan,2024,6,"… • By exploring the potential of Large Language Models (LLMs) … Chapter 6, ”Declarative Pipelines via Multi-Agent Compilation… a LLM, the model retrieves and executes a program that is …",BEFpRB4q3YIJ,Y Mendoza Juan - 2024 - upcommons.upc.edu,[],https://upcommons.upc.edu/entities/publication/933def9e-00ed-4ac5-b233-13d04f65148e,unknown,unknown
Repairing Language Model Pipelines by Meta Self-Refining Competing Constraints at Runtime,M Eshghie,2025,0,"… In the DSPy, a program (LM pipeline) has two main lifecycle phases: … DSPy compiler takes the LM pipeline as a Python program, a training set, and a metric, and optimizes the pipeline’s …",A-WC73Ov-6gJ,"M Eshghie - arXiv preprint arXiv:2507.10590, 2025 - arxiv.org",[],https://arxiv.org/abs/2507.10590,unknown,unknown
DELM: a Python toolkit for Data Extraction with Language Models,"E Fithian, K Skobelev",2025,1,"… with Language Models), an open-source Python toolkit designed for rapid experimental iteration of LLM-based data extraction pipelines and … By contrast, DSPy introduces a declarative …",oWnp7DgfvzkJ,"E Fithian, K Skobelev - arXiv preprint arXiv:2509.20617, 2025 - arxiv.org",[],https://arxiv.org/abs/2509.20617,unknown,unknown
Is It Time To Treat Prompts As Code? A Multi-Use Case Study For Prompt Optimization Using DSPy,"F Lemos, V Alves, F Ferraz",2025,3,"… study investigates Declarative Self-improving Python (DSPy), … Another research study on multi-stage language model programs … This framework pushes building new LM pipelines away …",xYIXydq9pQgJ,"F Lemos, V Alves, F Ferraz - arXiv preprint arXiv:2507.03620, 2025 - arxiv.org",[],https://arxiv.org/abs/2507.03620,unknown,unknown
DSPy Guardrails: Building Safe LLM Applications via Self-Refining Language Model Pipelines,"B Yu, P He",2024,1,"… DSPy is a programming model that treats LMs as abstract devices for text … DSPy Guardrails, a method to autonomously optimize guardrails through selfrefining language model pipelines…",w0x8YUqM-HMJ,"B Yu, P He - arXiv preprint arXiv:2403.07865, 2024 - boxiyu.github.io",[],https://boxiyu.github.io/assets/pdf/DSPy_Guardrails.pdf,unknown,unknown
Structured Prompt Language: Declarative Context Management for LLMs,WG Gong,2026,3,… that treats large language models as generative knowledge … SPL-flow extends SPL into resilient agentic pipelines with a … We view DSPy and SPL as addressing orthogonal aspects of …,yna-XBVcVA4J,"WG Gong - arXiv preprint arXiv:2602.21257, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.21257,unknown,unknown
