title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Guardrails as Infrastructure: Policy-First Control for Tool-Orchestrated Workflows,"A Sigdel, R Baral",2026,1,"… We do not attempt to “make the LLM smarter.” The … and a fix hint, such as path under workspace root or retry budget … Suite D exercises structured parsing and validation workflows…",8lQqJc_PO3MJ,"A Sigdel, R Baral - arXiv preprint arXiv:2603.18059, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.18059,unknown,unknown
Iti-Validator: A guardrail framework for validating and correcting LLM-generated itineraries,"S Gadbail, M Desai, K Karlapalem",2025,2,… AeroDataBox API Integration: We use the AeroDataBox service to … in the raw output and how much correction was needed. … structured plans that must adhere to real-world constraints. …,CoUm8sAavDEJ,"S Gadbail, M Desai, K Karlapalem - Proceedings of the 33rd ACM …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3748636.3763206,unknown,unknown
"Contracts for Large Language Model APIs: A Comprehensive Taxonomy, Detection Framework, and Enforcement Strategies","TH Romel, KW Amin, IB Mahmod, A Rahman",2025,0,"… spanning static analysis, runtime guardrails, and framework inte… and Output Format Contracts specify structural requirements … with manual validation to discover and classify LLM API …",HvS9p3O282QJ,"TH Romel, KW Amin, IB Mahmod, A Rahman - 2025 - tanzimhromel.com",[],https://tanzimhromel.com/assets/pdf/llm-api-contracts.pdf,unknown,unknown
PROMPTEVALS: A Dataset of Assertions and Guardrails for Custom Production Large Language Model Pipelines,"R Vir, S Shankar, H Chase, W Hinthorn…",2025,6,… LLM-based validators can be productionized as assertions in … template and grounded in a structured framework of output … to implement for verifying the quality of my LLM output. Each …,QGVeZc4wGgIJ,"R Vir, S Shankar, H Chase, W Hinthorn… - Proceedings of the …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.naacl-long.213/,unknown,unknown
Functional Safety for Language Models,"MK Johnston, N Harmonia",2026,0,"… -aware editing architecture that formalizes LLM-driven edits as … ), Repair Rounds (mean number of planner repair loops per run)… Plans are validated; invalid plans produce no output files …",-xQ3fKcjt9kJ,"MK Johnston, N Harmonia - 2026 - nunki-harmonia.com",[],https://nunki-harmonia.com/research/functional-safety/michaelkjohnston-functional_safety-20260521.pdf,unknown,unknown
A Multi-Layer Verification Harness for LLM-Generated Code Patches,I Hernández Bas,2026,0,"… validation derived from the issue description. It extracts … this work: automated program repair, LLM-based code generation and … , the full plan, guardrail context, and on retry iterations, the …",_6e4208FZj0J,I Hernández Bas - 2026 - repositorio.comillas.edu,[],https://repositorio.comillas.edu/xmlui/handle/11531/107492,unknown,unknown
Guardrails/Safety Patterns,A Gullí,2025,0,"… brands or services: [Your Service A, Your Product B]. … Validates the raw string output from the LLM against the … attempt to structure the final output of this task according to this model and …",DNUqu0gX4mIJ,"A Gullí - Agentic Design Patterns: A Hands-On Guide to …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-01402-3_18,unknown,unknown
Reloop: Structured modeling and behavioral verification for reliable llm-based optimization,"JJ Lian, Y Sun, H Chen, C Zhang, H Qin…",2026,3,"… SFT models, whose learned output formats are brittle to chain-… rays); WARNING triggers targeted repair guided by specific L2 … that enables targeted reformulation rather than blind retry. …",KRz0oXPXawAJ,"JJ Lian, Y Sun, H Chen, C Zhang, H Qin… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.15983,unknown,unknown
Risk-based test framework for LLM features in regulated software,Z Zhou,2026,2,"… Second, we derive a structured test strategy that maps each … tests validate that the combined guardrail and LLM output … adopt LLM components for documentation, maintenance support, …",3ErkMMMA9roJ,"Z Zhou - arXiv preprint arXiv:2601.17292, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.17292,unknown,unknown
"A survey of LLM-based automated program repair: Taxonomies, design paradigms, and applications","B Yang, Z Cai, F Liu, B Le, L Zhang…",2025,56,… paradigm from the repair loop structure described in the paper… by the experts and LLM outputs never decide which branch to … Abstain and Validate introduces a dual LLM policy layer on …,-f7CdZiL0dkJ,"B Yang, Z Cai, F Liu, B Le, L Zhang… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2506.23749,unknown,unknown
