title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,"S Yao, N Shinn, P Razavi, K Narasimhan",2024,704,"… We also propose a new metric (pass^k) to evaluate the reliability of agent behavior over … drafts of the paper, and Nate White for helping set up the different LLM APIs for the experiments. …",UMohw22jeGwJ,"S Yao, N Shinn, P Razavi, K Narasimhan - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2406.12045,unknown,unknown
{}-bench: A Benchmark for \underline{T}ool-\underline{A}gent-\underline{U}ser Interaction in Real-World Domains,"S Yao, N Shinn, P Razavi…",2025,47,… benchmark emulating dynamic conversations between a user (simulated by language models) and a language agent … (passˆk) to evaluate the reliability of agent behavior over multiple tri…,yPchxirjdJwJ,"S Yao, N Shinn, P Razavi… - … Conference on Learning …, 2025 - openreview.net",[],https://openreview.net/forum?id=roNSXZpUDN,unknown,unknown
Holistic agent leaderboard: The missing infrastructure for ai agent evaluation,"S Kapoor, B Stroebl, P Kirgis, N Nadgir…",2025,48,… for conducting the LLM-based analysis of agent trajectories. … The TAU-bench Few Shot agent suffered from data leakage … this scaffold from our benchmark analysis. See Section 4.2 and …,7DXDROlRRlkJ,"S Kapoor, B Stroebl, P Kirgis, N Nadgir… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2510.11977,unknown,unknown
"AgentBeats: Agentifying Agent Assessment for Openness, Standardization, and Reproducibility","X Liu, J Tu, Y Chen, S Xie, S Ren, T Shi…",2026,0,"… let both agent developers and benchmark designers adopt … Figure 1: Comparison between Traditional LLM/Agent bench… , while incorporating evaluations such as tau-bench [51] may …",TT-lJNS_FaEJ,"X Liu, J Tu, Y Chen, S Xie, S Ren, T Shi… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2606.13608,unknown,unknown
Towards Reliable and Practical Language-Model Agents: Evaluation and Development,H Dong,2026,0,"… need benchmarks that can evaluate different facets of agent … In ToolEmu, we adopt LLM-as-a-judge to evaluate long-tail … Building on Tau-Bench, recent works include FlowBench …",vJGxdLGY-gIJ,H Dong - 2026 - search.proquest.com,[],https://search.proquest.com/openview/bd74b99fd19101119b6b32d523e6b2a4/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
DecisionBench: A Benchmark for Emergent Delegation in Long-Horizon Agentic Workflows,"Y Gao, M Wang, YL Yu, ZC Ma, A Qu",2026,1,"… Large language model (LLM) agents are increasingly … step tagger, released as evaluation machinery rather than a … (responds as the user in tau-bench/0,5). long_input_handling: 55…",nSKjuvdUpJEJ,"Y Gao, M Wang, YL Yu, ZC Ma, A Qu - arXiv preprint arXiv:2605.19099, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.19099,unknown,unknown
General agent evaluation,"E Bandel, A Yehudai, L Eden, Y Sagron…",2026,14,"… The Exgentic framework enables running any currently supported agent on any supported benchmark task, with any LLM, using only a few lines of standard Python code or a dedicated …",NZqQhMEb9UoJ,"E Bandel, A Yehudai, L Eden, Y Sagron… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.22953,unknown,unknown
Establishing best practices in building rigorous agentic benchmarks,"Y Zhu, T Jin, Y Pruksachatkun…",2026,60,… LLM annotations varies across domains [102]. We recommend conducting pilot experiments to assess the accuracy and self-consistency of LLM … tau-bench: A benchmark for tool-agent-…,qIFr__Mkyz8J,"Y Zhu, T Jin, Y Pruksachatkun… - Advances in …, 2026 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2025/hash/f316275b44ee2de533102913828a8107-Abstract-Datasets_and_Benchmarks_Track.html,unknown,unknown
A Unified Framework for the Evaluation of LLM Agentic Capabilities,"P Zhu, L Li, Y Lyu, Q Luo, J Yang, Y Liu, T Hui…",2026,1,… We evaluate our framework on seven agent benchmarks: AgentBench (Liu et al.… score inflations our framework produces on AgentBench Database and similar benchmarks; the forced-…,K4qRg_5X418J,"P Zhu, L Li, Y Lyu, Q Luo, J Yang, Y Liu, T Hui… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.27898,unknown,unknown
A Survey on Evaluation of LLM-based Agents,"A Yehudai, L Eden, A Li, G Uziel, Y Zhao…",2026,246,… field of agent evaluation across five perspectives: (1) Core LLM … SWE agents; (3) Evaluation of generalist agents; (4) Analysis of … and analyze core dimensions of agent benchmarks (§5…,-22XdBJBF9YJ,"A Yehudai, L Eden, A Li, G Uziel, Y Zhao… - Findings of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.findings-acl.1330/,unknown,unknown
Benchmark test-time scaling of general llm agents,"X Li, R Ming, P Setlur, A Paladugu, A Tang…",2026,11,"… We present General AgentBench, a unified benchmark for evaluating LLM agents under realistic, multi-domain interactions where agents must infer intent, select tools from a shared …",HHsaEkMQEosJ,"X Li, R Ming, P Setlur, A Paladugu, A Tang… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.18998,unknown,unknown
AgentAtlas: Beyond Outcome Leaderboards for LLM Agents,"P Mazaheri, K Mazaheri",2026,15,… : a 0/1/2 coverage rubric applied to 15 agent benchmarks across six evaluation axes. … dynamic environment to evaluate attacks and defenses for llm agents. Security benchmark. 97 tasks…,_LU3KzCi-jAJ,"P Mazaheri, K Mazaheri - arXiv preprint arXiv:2605.20530, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.20530,unknown,unknown
